month,target,acquirer,sector_raw,deal_value_usdm,deal_type,stake_pct,ey_bucket,source_report,report_year
NA,Stelis Biopharma Pvt Ltd,"TPG Growth, Route One, Think Investments and the Mankekar Family",Pharma & Biotech,125,PE Investment,NA,Lifesciences,Grant Thornton Dealtracker 2021,2021
NA,Suburban Diagnostics India Pvt Ltd,Dr. Lal PathLabs Ltd,Primary Healthcare,125,M&A - Domestic,100%,Lifesciences,Grant Thornton Dealtracker 2021,2021
NA,Synergia Life Sciences Pvt Ltd,Novozymes A/S,Pharma & Biotech,150,M&A - Inbound,60%,Lifesciences,Grant Thornton Dealtracker 2021,2021
NA,Thyrocare Technologies Ltd,Docon Technologies Pvt Ltd,Primary Healthcare,623,M&A - Domestic,66%,Lifesciences,Grant Thornton Dealtracker 2021,2021
NA,ZCL Chemicals Ltd,Advent International,Pharma & Biotech,221,PE Investment,80%,Lifesciences,Grant Thornton Dealtracker 2021,2021
NA,Zydus Animal Health and Investments Ltd-Zydus AH,"Multiples Alternate Asset Management, Canada Pension Plan Investment Board and Zenex Animal Health India",Pharma & Biotech,395,PE Investment,100%,Lifesciences,Grant Thornton Dealtracker 2021,2021
NA,Atria Convergence Technologies Ltd,Partners Group,Telecom,900,PE Investment,75%,Technology,Grant Thornton Dealtracker 2021,2021
NA,Dream Sports Inc-Dream11 Fantasy Private Ltd,"Falcon Edge, DST Global, D1 Capital, Redbird Capital, Tiger Global, TPG and Footpath Ventures",Media and entertainment,840,PE Investment,NA,Technology,Grant Thornton Dealtracker 2021,2021
NA,Just Dial Pvt Ltd,Reliance Retail Ventures Ltd,Discovery platform,473,M&A - Domestic,41%,Technology,Grant Thornton Dealtracker 2021,2021
NA,Mohalla Tech Pvt Ltd-Sharechat,"Lightspeed Venture Partners, Tiger Global, Snap Inc, Twitter and India Quotient",Networking Platform,502,PE Investment,NA,Technology,Grant Thornton Dealtracker 2021,2021
NA,Oneweb Ltd,Bharti Enterprises Ltd,Telecom,500,M&A - Outbound,NA,Technology,Grant Thornton Dealtracker 2021,2021
NA,PlaySimple Games Pvt Ltd,Modern Times Group,IT & ITeS (Software development),360,M&A - Inbound,100%,Technology,Grant Thornton Dealtracker 2021,2021
NA,Razorpay Software Pvt Ltd (large round),"Lone Pine Capital, Alkeon Capital, TCV, Tiger Global, Sequoia Capital India, GIC and Y Combinator",Software development,375,PE Investment,NA,Technology,Grant Thornton Dealtracker 2021,2021
NA,Aakash Educational Services Ltd,Think & Learn Pvt Ltd-Byju's,Education,1000,M&A - Domestic,100%,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,Acko General Insurance Ltd,"General Atlantic, Multiples Private Equity, Canada Pension Plan Investment Board, Lightspeed, Intact Ventures and Munich Re Ventures",Fin Tech,255,PE Investment,NA,Financial Services,Grant Thornton Dealtracker 2021,2021
NA,Air India,Talace (Tata Group),NA,2400,M&A,NA,Industrials and Auto,"PwC Deals in India: Annual review and outlook for 2022 (Feb 2022, CY2021 data)",2021
NA,Air India Ltd,Talace Pvt Ltd,Aviation,2432,M&A - Domestic,100%,Industrials and Auto,Grant Thornton Dealtracker 2021,2021
NA,BillDesk,PayU,NA,4700,M&A,NA,Financial Services,"PwC Deals in India: Annual review and outlook for 2022 (Feb 2022, CY2021 data)",2021
NA,Bitcipher Labs LLP-CoinSwitch Kuber,"a16z, Coinbase Ventures, Paradigm, Ribbit Capital, Sequoia Capital and Tiger Global",Fin Tech,260,PE Investment,NA,Financial Services,Grant Thornton Dealtracker 2021,2021
NA,Byju's,"Footpath Ventures, GSV Ventures, ADQ, Owl Ventures, B Capital Group, Prosus Ventures, Silver Lake, Blackstone and others",NA,1400,PE investment,NA,Technology,"PwC Deals in India: Annual review and outlook for 2022 (Feb 2022, CY2021 data)",2021
NA,Capco,Wipro Ltd,IT & ITeS,1450,M&A - Outbound,100%,Technology,Grant Thornton Dealtracker 2021,2021
NA,Dewan Housing Finance Corporation,Piramal Capital and Housing Finance,NA,5000,M&A,NA,Financial Services,"PwC Deals in India: Annual review and outlook for 2022 (Feb 2022, CY2021 data)",2021
NA,Encora,Advent International,NA,1500,PE investment,NA,Technology,"PwC Deals in India: Annual review and outlook for 2022 (Feb 2022, CY2021 data)",2021
NA,"Epic! Creations, Inc",Think & Learn Pvt Ltd-Byju's,Education,500,M&A - Outbound,100%,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,Eruditus Executive Education Pvt Ltd,"Accel Partners, SoftBank Vision Fund 2, The Chan Zuckerberg Initiative, Leeds Illuminate, The Canada Pension Plan Investment Board and Prosus",Education,650,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,Flipkart,"Antara Capital, Tencent, Qatar Investment Authority, CPPIB, SoftBank Corp, Franklin Templeton PE, Tiger Global, GIC, Others",NA,3600,PE investment,NA,Consumer Products and Retail,"PwC Deals in India: Annual review and outlook for 2022 (Feb 2022, CY2021 data)",2021
NA,Fullerton India,Sumitomo Mitsui Financial Group,NA,2000,M&A,NA,Financial Services,"PwC Deals in India: Annual review and outlook for 2022 (Feb 2022, CY2021 data)",2021
NA,Great Lakes E-Learning Services Pvt Ltd-Great Learning,Think & Learn Pvt Ltd-Byju's,Online Education,600,M&A - Domestic,100%,Technology,Grant Thornton Dealtracker 2021,2021
NA,Hexaware,Carlyle,NA,3000,PE investment,NA,Technology,"PwC Deals in India: Annual review and outlook for 2022 (Feb 2022, CY2021 data)",2021
NA,Hinduja Global Solutions (HGS) Ltd-Healthcare business,Baring Private Equity Asia,IT & ITES,1200,PE Investment,100%,Technology,Grant Thornton Dealtracker 2021,2021
NA,IndiaIdeas.com Ltd-BillDesk,Prosus N.V.-PayU,IT & ITeS,4700,M&A - Inbound,100%,Technology,Grant Thornton Dealtracker 2021,2021
NA,KFin Technologies Pvt Ltd,Kotak Mahindra Bank Ltd,Fin-tech,42,M&A - Domestic,10%,Financial Services,Grant Thornton Dealtracker 2021,2021
NA,Mir Protocol,Polygon technology,IT & ITeS (Others),400,M&A - Outbound,100%,Technology,Grant Thornton Dealtracker 2021,2021
NA,Mphasis,Blackstone,NA,2800,PE investment,NA,Technology,"PwC Deals in India: Annual review and outlook for 2022 (Feb 2022, CY2021 data)",2021
NA,Mphasis Ltd,Three Blackstone affiliate funds,IT & ITeS,2084,PE Investment,55.3%,Technology,Grant Thornton Dealtracker 2021,2021
NA,Neuron Fuel Inc-Tynker,Think & Learn Pvt Ltd-Byju's,Online Education,200,M&A - Outbound,100%,Technology,Grant Thornton Dealtracker 2021,2021
NA,Pine Labs Pvt Ltd (round A),"Fidelity Management & Research Co, BlackRock, IIFL AMC, Neuberger Berman Investment Advisers, Ishana, Tree Line, Baron Capital Group, Duro Capital, Marshall Wace, Moore Strategic Ventures, Ward Ferry Management, Temasek, Lone Pine Capital and Sunley House Capital",IT Solutions,315,PE Investment,NA,Technology,Grant Thornton Dealtracker 2021,2021
NA,Pine Labs Pvt Ltd (round B),"Fidelity Management & Research Co, BlackRock, IIFL AMC, Neuberger Berman Investment Advisers, Ishana, Tree Line, Baron Capital Group, Duro Capital, Marshall Wace, Moore Strategic Ventures, Ward Ferry Management, Temasek, Lone Pine Capital and Sunley House Capital",IT Solutions,285,PE Investment,NA,Technology,Grant Thornton Dealtracker 2021,2021
NA,Resilient Innovations Pvt Ltd-BharatPe,"Tiger Global Management, Dragoneer Investment Group, Steadfast Capital, Coatue Management, Insight Partners, Sequoia Growth, Ribbit Capital and Amplo",Fin Tech,370,PE Investment,NA,Financial Services,Grant Thornton Dealtracker 2021,2021
NA,SB Energy,Adani Green,NA,3500,M&A,NA,Infrastructure,"PwC Deals in India: Annual review and outlook for 2022 (Feb 2022, CY2021 data)",2021
NA,Sorting Hat Technologies Private Ltd-Unacademy,"Temasek, Softbank Vision Fund, General Atlantic, Tiger Global Management, Mirae Asset Management, Aroa Ventures, and angel investors",Online Education,440,PE Investment,NA,Technology,Grant Thornton Dealtracker 2021,2021
NA,Tata Passenger Electric Mobility Ltd,TPG Rise Climate and ADQ,Start-up,1014,PE Investment,NA,Industrials and Auto,Grant Thornton Dealtracker 2021,2021
NA,Think & Learn Pvt Ltd-Byju's (round A),"MC Global Edtech Investment Holdings LP, B Capital, Baron Global Advantage Fund, XN Exponent Holding, Arison Holdings, TCDS (India), and TIGA (India)",Education Solutions,460,PE Investment,NA,Technology,Grant Thornton Dealtracker 2021,2021
NA,Think & Learn Pvt Ltd-Byju's (round B),"Baron Funds, B Capital Group, XN Exponent Holding, Arison Holdings, Tarsadia Capital and Macquarie Group",Education Solutions,455,PE Investment,NA,Technology,Grant Thornton Dealtracker 2021,2021
NA,Think & Learn Pvt Ltd-Byju's (round C),"UBS, Blackstone Group LLP, ADQ, Phoenix Rising and angel investor",Education Solutions,350,PE Investment,NA,Technology,Grant Thornton Dealtracker 2021,2021
NA,VA Tech Ventures Pvt Ltd-Happay,Dreamplug Technologies Pvt Ltd-Cred,Fin Tech,180,M&A - Domestic,100%,Financial Services,Grant Thornton Dealtracker 2021,2021
NA,Web Werks India Pvt Ltd,Iron Mountain Inc.,IT Solutions,150,M&A - NA,NA,Technology,Grant Thornton Dealtracker 2021,2021
NA,"internalDrive, Inc-iD Tech",Eruditus Executive Education,Education Solutions,200,M&A - Outbound,100%,Technology,Grant Thornton Dealtracker 2021,2021
NA,Aditya Birla Fashion and Retail Ltd. (stake to GIC),GIC,Retail,289,PE Investment,7.5%,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,B9 Beverages Pvt. Ltd.-Bira 91 (2022 tranche),Kirin Holdings,FMCG,70,M&A - Inbound,10%,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,Badshah Masala Pvt. Ltd.,Dabur India Ltd.,FMCG,74,M&A - Domestic,51%,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,BigBasket.com-Innovative Retail Concepts Pvt Ltd (2022 tranche),Tata Digital Pvt Ltd,Retail,200,M&A - Domestic,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,Blink Commerce Pvt. Ltd.,Zomato Media Pvt. Ltd.,Retail,585,M&A - Domestic,100%,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,Bundl Technologies Pvt. Ltd.-Swiggy.com (2022 round),"Invesco, Baron Capital Group, Sumeru Venture, IIFL AMC Late Stake Tech Fund, Kotak, Axis Growth, Sixteenth Street Capital, Ghisallo, Smile Group, Segantii Capital, Prosus Ventures, Alpha Wave Global, Qatar Investment Authority and ARK Impact",E-commerce,700,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,Butterfly Gandhimathi Appliances Ltd,Crompton Greaves Consumer Electricals Ltd,Consumer Durables,186,M&A - Domestic,55%,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,Clovia.com-Purple Panda Fashion Pvt Ltd,Reliance Retail Ventures Ltd,Retail,127,M&A - Domestic,89%,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,EQX Internet Capital Advisors Pvt Ltd-Stashfin,Consortium of investors,Consumer Services,270,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,Flipkart Online Services Pvt Ltd (minority stake),Tencent Cloud Europe BV,Consumer Durables,264,PE Investment,0.7%,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,Imagine Marketing Ltd.-BoAt (2022 round),Warburg Pincus and Malabar Investments,Consumer Durables,60,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,METRO Cash & Carry India,Reliance Industries Ltd,Retail,348,M&A - Domestic,100%,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,More retail Pvt Ltd,Amazon.com Inc and Samara Capital,Retail,512,PE Investment,100%,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,Service Lee Technologies Pvt Ltd-Servify,Consortium of investors,Consumer Services,65,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,United Spirits Ltd-32 brands,Inbrew Beverages Pvt. Ltd.,FMCG,108,M&A - Domestic,100%,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,iD Fresh Food (India) Pvt. Ltd.,NewQuest Capital Partner and Premji Invest,FMCG,68,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,APM Finvest Ltd.,Mufin Finance Ltd.,NBFC,10,M&A - Domestic,100%,Financial Services,Grant Thornton Dealtracker 2022,2022
NA,Citicorp Finance (India) Ltd - Indian consumer businesses,Axis Bank Ltd,Banking and financial services,1643,M&A - Outbound,100%,Financial Services,Grant Thornton Dealtracker 2022,2022
NA,Future Generali India Life Insurance Company Ltd. and Future Generali India Insurance Company Ltd.,Generali Participations Netherlands N.V.,Banking and financial services,167,M&A - Inbound,25%,Financial Services,Grant Thornton Dealtracker 2022,2022
NA,HDFC Ltd,HDFC Bank Ltd,Banking and financial services,40000,M&A - Domestic,100%,Financial Services,Grant Thornton Dealtracker 2022,2022
NA,Hero FinCorp Ltd,Apollo Management,NBFC,125,PE Investment,NA,Financial Services,Grant Thornton Dealtracker 2022,2022
NA,IIFL Wealth Management Ltd,Bain Capital,NBFC,486,PE Investment,25%,Financial Services,Grant Thornton Dealtracker 2022,2022
NA,Poonawalla Housing Finance Ltd.,TPG Capital Asia,Financial Services,476,PE Investment,100%,Financial Services,Grant Thornton Dealtracker 2022,2022
NA,Shriram General Insurance Company Ltd.,KKR,Insurance & TPAs,243,PE Investment,10%,Financial Services,Grant Thornton Dealtracker 2022,2022
NA,Surance Ltd,Tech Mahindra Ltd,Insurance & TPAs,11,M&A - Domestic,25%,Financial Services,Grant Thornton Dealtracker 2022,2022
NA,Yes Bank Ltd,Carlyle Group Inc and Advent International,Banking and financial services,1100,PE Investment,20%,Financial Services,Grant Thornton Dealtracker 2022,2022
NA,Ambuja Cement Ltd and ACC Ltd,Adani Group,Manufacturing,10500,M&A - Outbound (controlling stake),NA,Industrials and Auto,Grant Thornton Dealtracker 2022,2022
NA,BusyBees Logistics Solutions Pvt Ltd-Xpressbees,"Blackstone Growth, TPG Growth, ChrysCapital, Investcorp and Norwest Venture Partners","Travel, Transport & Logistics",300,PE Investment,NA,Industrials and Auto,Grant Thornton Dealtracker 2022,2022
NA,"Essar Group - Ports, power and transmission assets",ArcelorMittal Nippon Steel Ltd,Transport and Logistics,2400,M&A - Domestic,100%,Industrials and Auto,Grant Thornton Dealtracker 2022,2022
NA,"Jaiprakash Associates Ltd - clinker, cement and power plants",Dalmia Cement (Bharat) Ltd,Manufacturing,691,M&A - Domestic,100%,Industrials and Auto,Grant Thornton Dealtracker 2022,2022
NA,NTex Transportation Services Pvt Ltd-ElasticRun,"SoftBank, Goldman Sachs and Prosus Ventures","Travel, Transport & Logistics",300,PE Investment,NA,Industrials and Auto,Grant Thornton Dealtracker 2022,2022
NA,Shiprocket-Pickrr Technologies Pvt Ltd,BigFoot Retail Solutions Pvt Ltd,"Travel, Transport & Logistics",200,M&A - Domestic,NA,Industrials and Auto,Grant Thornton Dealtracker 2022,2022
NA,Varroc Engineering Pvt. Ltd.-four-wheeler lighting system operations,Compagnie Plastic Omnium SE,Automotive,631,M&A - Inbound,NA,Industrials and Auto,Grant Thornton Dealtracker 2022,2022
NA,Brookfield Asset Management-five operational road projects,IndInfravit Trust,Infrastructure Management,1200,PE Investment,100%,Infrastructure,Grant Thornton Dealtracker 2022,2022
NA,Jindal Power Ltd,Worldone Pvt. Ltd.,Energy and natural resources,987,M&A - Domestic,96.42%,Infrastructure,Grant Thornton Dealtracker 2022,2022
NA,Mytrah Energy (India) Pvt. Ltd. - 1.75 GW of renewable portfolio,JSW Energy Ltd - JSW Neo Energy,Energy and natural resources,1316,M&A - Domestic,100%,Infrastructure,Grant Thornton Dealtracker 2022,2022
NA,South East U.P. Power Transmission Company Ltd,Resurgent Power Ventures Pte Ltd,Energy and natural resources,408,M&A - Inbound,NA,Infrastructure,Grant Thornton Dealtracker 2022,2022
NA,Sprng Energy Pvt. Ltd.-Solenergi Power Pvt. Ltd.,Shell Overseas Investment B.V.,Energy and natural resources,1550,PE Investment,100%,Infrastructure,Grant Thornton Dealtracker 2022,2022
NA,Vector Green Energy Pvt. Ltd.,Sembcorp Industries Ltd.,Energy and natural resources,335,M&A - Inbound,NA,Infrastructure,Grant Thornton Dealtracker 2022,2022
NA,Welspun Enterprises Ltd.-six operating highway toll road projects,Actis LLP,Infrastructure management,775,PE Investment,100%,Infrastructure,Grant Thornton Dealtracker 2022,2022
NA,ASG Hospital Pvt. Ltd.,"General Atlantic, Kedaara Capital and Foundation Holdings",Hospitals,188,PE Investment,NA,Lifesciences,Grant Thornton Dealtracker 2022,2022
NA,Asia Healthcare Holdings,GIC,Hospitals,170,PE Investment,NA,Lifesciences,Grant Thornton Dealtracker 2022,2022
NA,Cenexi Group-CDMO,Gland Pharma Ltd,Pharma & Biotech,122,M&A - Outbound,100%,Lifesciences,Grant Thornton Dealtracker 2022,2022
NA,Curatio Healthcare (I) Pvt Ltd,Torrent Pharmaceuticals Ltd,Pharma & Biotech,250,M&A - Domestic,100%,Lifesciences,Grant Thornton Dealtracker 2022,2022
NA,Dr. Agarwal's Healthcare Ltd,TPG Growth and Temasek,Hospitals,138,PE Investment,NA,Lifesciences,Grant Thornton Dealtracker 2022,2022
NA,Meril Group-Micro Life Sciences Pvt. Ltd.,Warburg Pincus,Medical Devices,210,PE Investment,NA,Lifesciences,Grant Thornton Dealtracker 2022,2022
NA,Oaknet Healthcare Pvt. Ltd.,Eris Lifesciences Ltd,Pharma & Biotech,86,M&A - Domestic,100%,Lifesciences,Grant Thornton Dealtracker 2022,2022
NA,Optimus Drugs Pvt. Ltd.,"PAG, CX Partners and Samara Capital",Pharma & Biotech,263,PE Investment,74%,Lifesciences,Grant Thornton Dealtracker 2022,2022
NA,Panacea Biotec Ltd.,Mankind Pharma Ltd,Pharma & Biotech,228,M&A - Domestic,100%,Lifesciences,Grant Thornton Dealtracker 2022,2022
NA,Viatris Inc.,Biocon Ltd,"Pharma, health-care and biotech",3340,M&A - Outbound,100%,Lifesciences,Grant Thornton Dealtracker 2022,2022
NA,Bharti Airtel Ltd,Google International LLC,Telecom,700,M&A - Inbound,1.28%,Technology,Grant Thornton Dealtracker 2022,2022
NA,CitiusTech,Bain Capital; BPEA EQT,Technology Services (Healthcare IT),950-1000,M&A (PE exit),40,Technology,ey_tech_services_ma_trends_2022,2022
NA,CloudMed,R1 RCM,Technology Services (BPM),4000,M&A,NA,Technology,ey_tech_services_ma_trends_2022,2022
NA,Com Tec Co,Tech Mahindra,Technology Services,354,M&A,NA,Technology,ey_tech_services_ma_trends_2022,2022
NA,Darwinbox Digital Solutions Pvt. Ltd.,Consortium of investors,Software Development,72,PE Investment,NA,Technology,Grant Thornton Dealtracker 2022,2022
NA,Kontron,Vinci Energies,Technology Services (ER&D),400,M&A,NA,Technology,ey_tech_services_ma_trends_2022,2022
NA,MarketXpander Services Pvt. Ltd.-Leadsquared,WestBridge Capital and existing investors,Software Development,153,PE Investment,NA,Technology,Grant Thornton Dealtracker 2022,2022
NA,Mindtree,LTI (Larsen & Toubro Infotech),Technology Services,7000,Merger,NA,Technology,ey_tech_services_ma_trends_2022,2022
NA,Ness Digital,KKR,Technology Services,600-700,M&A (PE exit),NA,Technology,ey_tech_services_ma_trends_2022,2022
NA,Octo,IBM,Technology Services,1000,M&A,NA,Technology,ey_tech_services_ma_trends_2022,2022
NA,Rizing,Wipro,Technology Services,540,M&A,NA,Technology,ey_tech_services_ma_trends_2022,2022
NA,Unbxd Inc,Netcore Cloud Pvt. Ltd.,Software Development,100,M&A - Outbound,NA,Technology,Grant Thornton Dealtracker 2022,2022
NA,Ver Se Innovation Pvt. Ltd,"CPPIB, Ontario Teachers Pension Plan Board, Luxor Capital, Sumeru Ventures, Sofina Group, Baillie Gifford, and others",Media and entertainment,805,PE Investment,NA,Technology,Grant Thornton Dealtracker 2022,2022
NA,Viacom18 Media Pvt. Ltd,Bodhi Tree Systems,Media and entertainment,1776,PE Investment,NA,Technology,Grant Thornton Dealtracker 2022,2022
NA,WillowTree,Telus,Technology Services,1200,M&A (PE exit),NA,Technology,ey_tech_services_ma_trends_2022,2022
NA,"Adani Group, three portfolio companies",International Holding Company,NA,2000,M&A,NA,Unclassified,PwC Deals in India: Annual review 2022 (Jan 2023),2022
NA,Allen Career Institute,Bodhi Tree Systems,Education,600,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,Ambuja Cements Ltd,Adani Enterprises Ltd,NA,6200,Domestic; M&A,63,Industrials and Auto,PwC Deals in India: Annual review 2022 (Jan 2023),2022
NA,Citec Group Oy Ab,Cyient Ltd,Others (IT),106,M&A - Outbound,100%,Technology,Grant Thornton Dealtracker 2022,2022
NA,"Citibank N.A., Indian consumer banking business",Axis Bank Ltd,NA,1600,M&A,100,Financial Services,PwC Deals in India: Annual review 2022 (Jan 2023),2022
NA,Com Tec Co IT Ltd,Tech Mahindra Ltd,IT & ITeS,350,M&A - Outbound,100%,Technology,Grant Thornton Dealtracker 2022,2022
NA,Dunzo Digital Pvt. Ltd.,Reliance Retail Ventures Ltd,On-demand services,200,M&A - Domestic,26%,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,"Essar Group, infrastructure assets",ArcelorMittal Nippon Steel India Ltd,NA,2400,Domestic; M&A,100,Infrastructure,PwC Deals in India: Annual review 2022 (Jan 2023),2022
NA,Housing Development Finance Corporation Ltd,HDFC Bank Ltd,NA,60400,Domestic; M&A merger,100,Financial Services,PwC Deals in India: Annual review 2022 (Jan 2023),2022
NA,IGT Solutions Pvt. Ltd.,Baring PE Asia,IT & ITeS,800,PE Investment,85%,Technology,Grant Thornton Dealtracker 2022,2022
NA,MindTree Ltd,Larsen and Toubro Infotech Ltd,NA,2200,Domestic; M&A,100,Technology,PwC Deals in India: Annual review 2022 (Jan 2023),2022
NA,Mindtree Ltd,Larsen & Toubro Infotech Ltd,IT & ITeS,17690,M&A - Domestic,100%,Technology,Grant Thornton Dealtracker 2022,2022
NA,MoEngage India Pvt. Ltd.,Consortium of investors,Data Analytics & Big Data & AI,77,PE Investment,NA,Technology,Grant Thornton Dealtracker 2022,2022
NA,Neelachal Ispat Nigam Ltd,Tata Steel Long Products Pvt Ltd,NA,1600,M&A,94,Industrials and Auto,PwC Deals in India: Annual review 2022 (Jan 2023),2022
NA,Pine Labs Pvt. Ltd. (2022 round),Alpha Wave Global,IT Solutions,150,PE Investment,NA,Technology,Grant Thornton Dealtracker 2022,2022
NA,"Rizing Intermediate Holdings, Inc",Wipro Ltd,IT & ITeS,540,M&A - Outbound,100%,Technology,Grant Thornton Dealtracker 2022,2022
NA,Sembcorp Energy India Ltd,Tanweer Infrastructure Pte Ltd,NA,1600,M&A,100,Infrastructure,PwC Deals in India: Annual review 2022 (Jan 2023),2022
NA,SolEnergi Power Pvt Ltd,Shell Plc,NA,1600,M&A,100,Infrastructure,PwC Deals in India: Annual review 2022 (Jan 2023),2022
NA,Think & Learn Pvt. Ltd.-Byju's (2022 round),"Sumeru Ventures, Vitruvian Partners, BlackRock and angel investor",Education,800,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2022,2022
NA,"Viatris Inc., biosimilars assets",Biocon Biologics Ltd,NA,3300,Domestic; M&A,100,Lifesciences,PwC Deals in India: Annual review 2022 (Jan 2023),2022
NA,Caratlane Trading Company,Titan Co Ltd,"Textiles, Apparel and accessories",564,M&A - Domestic,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2023,2023
NA,Chumbak Designs,GOAT Brand Labs,D2C,NA,M&A (start-up),NA,Consumer Products and Retail,PwC Start-up Perspectives: India start-up deals tracker H1 CY23,2023
NA,Flipkart,Walmart Inc,E-commerce,1400,M&A - Inbound,4%,Consumer Products and Retail,Grant Thornton Dealtracker 2023,2023
NA,Hiveloop Technology Pvt Ltd-Udaan (2023 round),"M&G Plc, Lightspeed Venture Partners and DST Global",E-commerce,340,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2023,2023
NA,Kurlon Enterprise,Sheela Foam Ltd,Consumer Durables and Home furnishing,248,M&A - Domestic,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2023,2023
NA,Lenskart Solutions,Abu Dhabi Investment Authority,E-commerce,500,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2023,2023
NA,Raymond Consumer Care,Godrej Consumer Products Ltd,Personal Care,345,M&A - Domestic,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2023,2023
NA,Reliance Retail Ventures Ltd (2023 tranche),Qatar Investment Authority,Retail and consumer,1010,PE Investment,1%,Consumer Products and Retail,Grant Thornton Dealtracker 2023,2023
NA,Reliance Retail Ventures Ltd (ADIA tranche),Abu Dhabi Investment Authority,Retail and consumer,598,PE Investment,0.6%,Consumer Products and Retail,Grant Thornton Dealtracker 2023,2023
NA,TCNS Clothing Company,Aditya Birla Fashion Retail Ltd,"Textiles, Apparel and accessories",201,M&A - Domestic,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2023,2023
NA,The Beverage Company,Varun Beverages Ltd,FMCG,159,M&A - Outbound,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2023,2023
NA,VLCC Health Care,Carlyle Group,Consumer Services,300,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2023,2023
NA,Adani Capital and Housing Finance,Bain Capital,Banking & NBFC,176,PE Investment,NA,Financial Services,Grant Thornton Dealtracker 2023,2023
2022,Citi Bank India consumer business,Axis Bank,Financial Services,1500,Acquisition,NA,Financial Services,Deloitte India M&A Trends 2023,2023
NA,DMI Finance Pvt Ltd (2023 round),Sumitomo Mitsui Trust Bank & MUFG Bank,Banking & NBFC,400,PE Investment,NA,Financial Services,Grant Thornton Dealtracker 2023,2023
NA,Fincare Small Finance Bank Ltd,AU Small Finance Bank Ltd,Banking & NBFC,529,M&A - Domestic,NA,Financial Services,Grant Thornton Dealtracker 2023,2023
2022,HDFC Bank,HDFC Ltd,Financial Services,57200,Merger,NA,Financial Services,Deloitte India M&A Trends 2023,2023
NA,HDFC Credila Financial Services Ltd,BPEA EQT and ChrysCapital,Banking and financial services,1105,PE Investment,90%,Financial Services,Grant Thornton Dealtracker 2023,2023
NA,Kotak General Insurance Company,Zurich Insurance Group Ltd,Insurance & TPAs,494,M&A - Inbound,NA,Financial Services,Grant Thornton Dealtracker 2023,2023
NA,Niva Bupa Health Insurance,Bupa Plc,Insurance & TPAs,329,M&A - Inbound,NA,Financial Services,Grant Thornton Dealtracker 2023,2023
NA,Sharekhan Ltd,Mirae Asset Financial Group,Investment Banking,219,M&A - Inbound,NA,Financial Services,Grant Thornton Dealtracker 2023,2023
NA,TrillionLoans,BharatPe,FinTech,NA,M&A (start-up),NA,Financial Services,PwC Start-up Perspectives: India start-up deals tracker H1 CY23,2023
NA,Vistaar Financial Services Pvt Ltd,Warburg Pincus and angel investor,Banking & NBFC,250,PE Investment,NA,Financial Services,Grant Thornton Dealtracker 2023,2023
2022,ACC Cement,Adani Group,Construction & Transport (Cement),1600,Acquisition,NA,Industrials and Auto,Deloitte India M&A Trends 2023,2023
NA,ASAP Holding Gmbh,HCL Technologies Ltd,Automotive,280,M&A - Outbound,NA,Industrials and Auto,Grant Thornton Dealtracker 2023,2023
2022,Ambuja Cement,Adani Group,Construction & Transport (Cement),8500,Acquisition,NA,Industrials and Auto,Deloitte India M&A Trends 2023,2023
NA,Ather Energy,Hero MotoCorp and GIC,Electric Vehicles,110,PE Investment,NA,Industrials and Auto,Grant Thornton Dealtracker 2023,2023
